country,continent,year,life_expectancy,population,gdp_per_capita,iso_alpha
Cameroon,Africa,1992,54.31399999999999,"12,467,171","$1,793.16",CMR
Cameroon,Africa,1997,52.199,"14,195,809","$1,694.34",CMR
Cameroon,Africa,2002,49.856,"15,929,988","$1,934.01",CMR
Cameroon,Africa,2007,50.43,"17,696,293","$2,042.10",CMR
Canada,Americas,1992,77.95,"28,523,502","$26,342.88",CAN
Canada,Americas,1997,78.61,"30,305,843","$28,954.93",CAN
Canada,americas,2002,79.77,"31,902,268","$33,328.97",CAN
Canada,Americas,2007,80.653,"33,390,141","$36,319.24",CAN
Central African Republic,Africa,1992,49.396,"3,265,124",$747.91,CAF
Central African Republic,Africa,1997,46.066,"3,696,513",$740.51,CAF
Central African Republic,Africa ,2002,43.308,"4,048,013",$738.69,CAF
Central African Republic,Africa,2007,44.74100000000001,"4,369,038",$706.02,CAF
Chad,Africa,1992,51.724,"6,429,417","$1,058.06",TCD
Chad,Africa,1997,51.573,"7,562,011","$1,004.96",TCD
Chad,Africa,2002,50.525,unknown,"$1,156.18",TCD
Chad,Africa,2007,50.651,"10,238,807","$1,704.06",TCD
Chile,Americas,1992,74.126,"13,572,994","$7,596.13",CHL
Chile,Americas,1997,75.816,"14,599,929","$10,118.05",CHL
CHILE,Americas,2002,77.86,"15,497,046","$10,778.78",CHL
Chile,Americas,2007,78.553,"16,284,741","$13,171.64",CHL
China,Asia,1992,68.69,"1,164,970,000","$1,655.78",CHN
China,Asia,1997,70.426,"1,230,075,000","$2,289.23",CHN
China,Asia,2002,72.028,"1,280,400,000","$3,119.28",CHN
China,Asia,2007,72.961,"1,318,683,096","$4,959.11",CHN
Colombia,Americas,1992,68.421,"34,202,721","$5,444.65",COL
Colombia,Americas,1997,70.313,"37,657,830","$6,117.36",COL
Colombia,Americas,2002,71.682,"41,008,227","$5,755.26",COL
Colombia,Americas,2007,72.889,"44,227,550","$7,006.58",COL
Comoros,Africa,1992,57.93899999999999,"454,429","$1,246.91",COM
Comoros,Africa,1997,60.66,"527,982","$1,173.62",COM
 Comoros,Africa,2002,62.974,"614,382","$1,075.81",COM
Comoros,Africa,2007,65.152,"710,960",$986.15,COM
Congo Dem. Rep.,Africa,1992,45.548,"41,672,143",not available,COD
Congo Dem. Rep.,Africa,1997,42.587,"47,798,986",not available,COD
Congo Dem. Rep.,Africa,2002,44.966,"55,379,852",$241.17,COD
Congo Dem. Rep.,Africa,2007,46.462,"64,606,759",$277.55,COD
Congo Rep.,Africa,1992,56.433,"2,409,073","$4,016.24",COG
Congo Rep.,Africa,1997,52.962,"2,800,947","$3,484.16",COG
Congo Rep.,Africa,2002,52.97,"3,328,795","$3,484.06",COG
Congo Rep.,Africa,2007,55.322,"3,800,610","$3,632.56",COG
Costa Rica,Americas,1992,75.71300000000002,"3,173,216","$6,160.42",CRI
Costa Rica,Americas,1997,77.26,"3,518,107","$6,677.05",CRI
Costa Rica ,Americas,2002,78.123,"3,834,934","$7,723.45",CRI
Costa Rica,Americas,2007,78.782,"4,133,884","$9,645.06",CRI
Cote dIvoire,Africa,1992,52.044,"12,772,596","$1,648.07",CIV
Cote dIvoire,Africa,1997,47.99100000000001,"14,625,967","$1,786.27",CIV
Cote dIvoire,Africa,2002,46.832,"16,252,726","$1,648.80",CIV
Cote dIvoire,africa,2007,48.328,"18,013,409","$1,544.75",CIV
Croatia,Europe,1992,72.527,"4,494,013","$8,447.79",HRV
Croatia,Europe,1997,73.68,"4,444,595","$9,875.60",HRV
Croatia,Europe,2002,74.876,"4,481,020","$11,628.39",HRV
Croatia,Europe,2007,75.748,"4,493,312","$14,619.22",HRV
Cuba,Americas,1992,74.414,"10,723,260","$5,592.84",CUB
Cuba,Americas ,1997,76.15100000000002,"10,983,007","$5,431.99",CUB
Cuba,Americas,2002,77.158,"11,226,999","$6,340.65",CUB
Cuba,Americas,2007,78.273,"11,416,987","$8,948.10",CUB
Czech Republic,Europe,1992,72.4,unknown,"$14,297.02",CZE
Czech Republic,Europe,1997,74.01,"10,300,707","$16,048.51",CZE
Czech Republic,Europe,2002,75.51,"10,256,295","$17,596.21",CZE
Czech Republic,Europe,2007,76.486,"10,228,744","$22,833.31",CZE
Denmark,Europe,1992,75.33,"5,171,393","$26,406.74",DNK
Denmark,Europe,1997,76.11,"5,283,663","$29,804.35",DNK
Denmark,Europe,2002,77.18,"5,374,693","$32,166.50",DNK
Denmark,Europe,2007,78.332,"5,468,120","$35,278.42",DNK
Djibouti,Africa,1992,51.604,"384,156","$2,377.16",DJI
DJIBOUTI,Africa,1997,53.157,"417,908","$1,895.02",DJI
Djibouti,Africa,2002,53.37300000000001,"447,416","$1,908.26",DJI
Djibouti,Africa,2007,54.791,"496,374","$2,082.48",DJI
Dominican Republic,Americas,1992,68.457,"7,351,181","$3,044.21",DOM
Dominican Republic,Americas,1997,69.957,"7,992,357","$3,614.10",DOM
Dominican Republic,Americas,2002,70.847,"8,650,322","$4,563.81",DOM
Dominican Republic,Americas,2007,72.235,"9,319,622","$6,025.37",DOM
Ecuador,Americas,1992,69.613,"10,748,394","$7,103.70",ECU
Ecuador,Americas,1997,72.312,"11,911,819","$7,429.46",ECU
Ecuador,Americas,2002,74.173,"12,921,234","$5,773.04",ECU
Ecuador,Americas,2007,74.994,"13,755,680","$6,873.26",ECU
Egypt,Africa,1992,63.674,"59,402,198","$3,794.76",EGY
Egypt,Africa,1997,67.217,"66,134,291","$4,173.18",EGY
Egypt,Africa,2002,69.806,"73,312,559","$4,754.60",EGY
Egypt,Africa,2007,71.33800000000002,"80,264,543",not available,EGY
El Salvador,Americas,1992,66.798,"5,274,649","$4,444.23",SLV
El Salvador,Americas,1997,69.535,"5,783,439","$5,154.83",SLV
El Salvador,Americas,2002,70.734,"6,353,681","$5,351.57",SLV
 El Salvador,Americas,2007,71.878,"6,939,688","$5,728.35",SLV
Equatorial Guinea,Africa,1992,47.545,"387,838",not available,GNQ
Equatorial Guinea,Africa,1997,48.245,"439,971","$2,814.48",GNQ
Equatorial Guinea,Africa,2002,49.348,"495,627","$7,703.50",GNQ
Equatorial Guinea,Africa,2007,51.57899999999999,"551,201","$12,154.09",GNQ
Eritrea,africa,1992,49.99100000000001,"3,668,440",$582.86,ERI
Eritrea,Africa,1997,53.378,unknown,$913.47,ERI
Eritrea,Africa,2002,55.24,"4,414,865",$765.35,ERI
Eritrea,Africa,2007,58.04,"4,906,585",$641.37,ERI
Ethiopia,Africa,1992,48.091,"52,088,559",$421.35,ETH
Ethiopia,Africa,1997,49.402,"59,861,301",$515.89,ETH
Ethiopia,Africa,2002,50.725,"67,946,797",$530.05,ETH
Ethiopia,Africa,2007,52.947,"76,511,887",not available,ETH
Finland,Europe ,1992,75.7,"5,041,039","$20,647.16",FIN
Finland,Europe,1997,77.13,"5,134,406","$23,723.95",FIN
Finland,Europe,2002,78.37,"5,193,039","$28,204.59",FIN
Finland,Europe,2007,79.313,"5,238,460","$33,207.08",FIN
France,Europe,1992,77.46,"57,374,179","$24,703.80",FRA
France ,Europe,1997,78.64,"58,623,428","$25,889.78",FRA
France,Europe,2002,79.59,"59,925,035","$28,926.03",FRA
France,Europe,2007,80.657,"61,083,916","$30,470.02",FRA
Gabon,Africa,1992,61.36600000000001,unknown,"$13,522.16",GAB
Gabon,Africa,1997,60.46100000000001,"1,126,189","$14,722.84",GAB
Gabon,Africa,2002,56.761,"1,299,304","$12,521.71",GAB
Gabon,Africa,2007,56.735,"1,454,867","$13,206.48",GAB
Gambia,Africa,1992,52.644,"1,025,384",$665.62,GMB
Gambia,Africa,1997,55.861,"1,235,767",$653.73,GMB
Gambia,Africa,2002,58.041,"1,457,766",$660.59,GMB
Gambia,Africa,2007,59.448,"1,688,359",$752.75,GMB
GERMANY,Europe,1992,76.07,"80,597,764","$26,505.30",DEU
Germany,Europe,1997,77.34,"82,011,073","$27,788.88",DEU
Germany,Europe,2002,78.67,"82,350,671","$30,035.80",DEU
Germany,Europe,2007,79.406,"82,400,996","$32,170.37",DEU
Ghana,Africa,1992,57.50100000000001,"16,278,738",$925.06,GHA
Ghana,Africa,1997,58.556,"18,418,288","$1,005.25",GHA
Ghana,Africa,2002,58.453,"20,550,751","$1,111.98",GHA
Ghana,Africa,2007,60.022,"22,873,338","$1,327.61",GHA
Greece,Europe,1992,77.03,"10,325,429","$17,541.50",GRC
Greece,Europe,1997,77.869,"10,502,372","$18,747.70",GRC
Greece,Europe,2002,78.256,"10,603,863","$22,514.25",GRC
Greece,Europe,2007,79.483,"10,706,290","$27,538.41",GRC
Guatemala,Americas,1992,63.37300000000001,"8,486,949","$4,439.45",GTM
Guatemala,Americas,1997,66.322,"9,803,875","$4,684.31",GTM
Guatemala,Americas,2002,68.97800000000001,"11,178,650","$4,858.35",GTM
Guatemala,Americas,2007,70.259,"12,572,928","$5,186.05",GTM
Guinea,Africa,1992,48.576,"6,990,574",$794.35,GIN
Guinea,africa,1997,51.455,"8,048,834",$869.45,GIN
Guinea,Africa,2002,53.676,"8,807,818",$945.58,GIN
Guinea,Africa,2007,56.007,"9,947,814",$942.65,GIN
Guinea-Bissau,Africa,1992,43.26600000000001,"1,050,938",$745.54,GNB
Guinea-Bissau,Africa,1997,44.87300000000001,"1,193,708",$796.66,GNB
Guinea-Bissau,Africa,2002,45.504,"1,332,459",$575.70,GNB
Guinea-Bissau,Africa,2007,46.38800000000001,"1,472,041",$579.23,GNB
 Haiti,Americas,1992,55.089,"6,326,682","$1,456.31",HTI
Haiti,Americas,1997,56.67100000000001,"6,913,545","$1,341.73",HTI
Haiti,Americas,2002,58.137,"7,607,651","$1,270.36",HTI
Haiti,Americas ,2007,60.916,"8,502,814","$1,201.64",HTI
Honduras,Americas,1992,66.399,"5,077,347","$3,081.69",HND
Honduras,Americas,1997,67.65899999999999,"5,867,957","$3,160.45",HND
Honduras,Americas,2002,68.565,"6,677,328","$3,099.73",HND
Honduras,Americas,2007,70.19800000000001,"7,483,763","$3,548.33",HND
"Hong Kong, China",Asia,1992,77.601,"5,829,696","$24,757.60",HKG
"Hong Kong, China",Asia,1997,80.0,"6,495,918","$28,377.63",HKG
"Hong Kong, China",Asia,2002,81.495,"6,762,476","$30,209.02",HKG
"Hong Kong, China",Asia,2007,82.208,"6,980,412","$39,724.98",HKG
Hungary,Europe,1992,69.17,"10,348,684","$10,535.63",HUN
Hungary,Europe,1997,71.04,"10,244,684","$11,712.78",HUN
Hungary,Europe,2002,72.59,"10,083,313","$14,843.94",HUN
Hungary,Europe,2007,73.33800000000002,"9,956,108","$18,008.94",HUN
Iceland,Europe,1992,78.77,"259,012","$25,144.39",ISL
Iceland,Europe,1997,78.95,"271,192","$28,061.10",ISL
Iceland,Europe,2002,80.5,"288,030","$31,163.20",ISL
Iceland,Europe,2007,81.757,"301,931","$36,180.79",ISL
India,Asia,1992,60.223,"872,000,000","$1,164.41",IND
India,Asia,1997,61.765,"959,000,000","$1,458.82",IND
India,Asia,2002,62.879,"1,034,172,547","$1,746.77",IND
INDIA,Asia,2007,64.69800000000001,"1,110,396,331","$2,452.21",IND
Indonesia ,Asia,1992,62.681,"184,816,000","$2,383.14",IDN
Indonesia,Asia,1997,66.041,"199,278,000","$3,119.34",IDN
Indonesia,Asia,2002,68.58800000000001,"211,060,000","$2,873.91",IDN
Indonesia,Asia,2007,70.65,"223,547,000","$3,540.65",IDN
Iran,Asia,1992,65.742,"60,397,973","$7,235.65",IRN
Iran,Asia,1997,68.042,"63,327,987","$8,263.59",IRN
Iran,Asia,2002,69.45100000000001,"66,907,826","$9,240.76",IRN
Iran,Asia,2007,70.964,"69,453,570","$11,605.71",IRN
Iraq,Asia,1992,59.46100000000001,"17,861,905","$3,745.64",IRQ
Iraq,Asia,1997,58.81100000000001,"20,775,703","$3,076.24",IRQ
Iraq,asia,2002,57.04600000000001,"24,001,816","$4,390.72",IRQ
Iraq,Asia,2007,59.545,unknown,"$4,471.06",IRQ
Ireland,Europe,1992,75.467,"3,557,761","$17,558.82",IRL
Ireland,Europe,1997,76.122,"3,667,233","$24,521.95",IRL
Ireland,Europe,2002,77.783,"3,879,155","$34,077.05",IRL
Ireland,Europe,2007,78.885,"4,109,086","$40,676.00",IRL
Israel,Asia,1992,76.93,"4,936,550","$18,051.52",ISR
Israel,Asia,1997,78.26899999999998,"5,531,387","$20,896.61",ISR
Israel,Asia,2002,79.696,"6,029,529","$21,905.60",ISR
Israel,Asia,2007,80.745,"6,426,679","$25,523.28",ISR
Italy,Europe,1992,77.44,"56,840,847",not available,ITA
Italy,Europe,1997,78.82,"57,479,469","$24,675.02",ITA
Italy,Europe ,2002,80.24,"57,926,999","$27,968.10",ITA
Italy,Europe,2007,80.546,"58,147,733","$28,569.72",ITA
Jamaica,Americas,1992,71.766,"2,378,618","$7,404.92",JAM
Jamaica,Americas,1997,72.262,"2,531,311","$7,121.92",JAM
Jamaica,Americas,2002,72.047,"2,664,659","$6,994.77",JAM
Jamaica,Americas,2007,72.567,"2,780,132","$7,320.88",JAM
Japan,Asia,1992,79.36,"124,329,269","$26,824.90",JPN
 Japan,Asia,1997,80.69,"125,956,499","$28,816.58",JPN
Japan,Asia,2002,,"127,065,841","$28,604.59",JPN
Japan,Asia,2007,82.603,"127,467,972","$31,656.07",JPN
Jordan,Asia,1992,68.015,"3,867,409","$3,431.59",JOR
Jordan,Asia,1997,69.77199999999999,"4,526,235","$3,645.38",JOR
Jordan,Asia,2002,71.263,"5,307,470","$3,844.92",JOR
Jordan,Asia,2007,72.535,"6,053,193","$4,519.46",JOR
Kenya,Africa,1992,59.285,"25,020,539","$1,341.92",KEN
Kenya,Africa,1997,54.407,"28,263,827","$1,360.49",KEN
Kenya,Africa,2002,50.992,"31,386,842","$1,287.51",KEN
Kenya,Africa,2007,54.11,"35,610,177","$1,463.25",KEN
"Korea, Dem. Rep.",Asia,1992,69.97800000000001,"20,711,375","$3,726.06",KOR
"Korea, Dem. Rep.",Asia,1997,67.727,"21,585,105","$1,690.76",KOR
"Korea, Dem. Rep.",Asia,2002,66.66199999999999,"22,215,365","$1,646.76",KOR
"Korea, Dem. Rep.",Asia,2007,67.297,"23,301,725","$1,593.07",KOR
Korea Rep.,Asia,1992,72.244,"43,805,450","$12,104.28",KOR
Korea Rep.,Asia,1997,74.64699999999998,"46,173,816","$15,993.53",KOR
Korea Rep.,Asia,2002,77.045,"47,969,150","$19,233.99",KOR
Korea Rep.,Asia,2007,78.623,"49,044,790","$23,348.14",KOR
Kuwait,Asia,1992,75.19,"1,418,095","$34,932.92",KWT
Kuwait,Asia,1997,76.156,"1,765,345","$40,300.62",KWT
Kuwait,Asia,2002,76.904,"2,111,561","$35,110.11",KWT
Kuwait,asia,2007,77.58800000000002,"2,505,559","$47,306.99",KWT
Lebanon,Asia,1992,69.292,"3,219,994","$6,890.81",LBN
Lebanon,Asia,1997,70.265,"3,430,388","$8,754.96",LBN
Lebanon,Asia,2002,71.028,"3,677,780","$9,313.94",LBN
Lebanon,Asia,2007,71.993,"3,921,278",not available,LBN
Lesotho,Africa,1992,59.685,"1,803,195",$977.49,LSO
Lesotho,Africa,1997,,"1,982,823","$1,186.15",LSO
Lesotho,Africa,2002,44.593,"2,046,772","$1,275.18",LSO
Lesotho ,Africa,2007,42.592,"2,012,649","$1,569.33",LSO
Liberia,Africa,1992,40.802,"1,912,974",$636.62,LBR
Liberia,Africa,1997,42.221,"2,200,725",$609.17,LBR
Liberia,Africa,2002,43.753,"2,814,651",$531.48,LBR
Liberia,Africa,2007,45.678,"3,193,942",$414.51,LBR
Libya,Africa,1992,68.755,"4,364,501","$9,640.14",LBY
Libya,Africa ,1997,71.555,"4,759,670","$9,467.45",LBY
Libya,Africa,2002,72.737,"5,368,585","$9,534.68",LBY
Libya,Africa,2007,73.952,"6,036,914","$12,057.50",LBY
Madagascar,Africa,1992,52.214,"12,210,395","$1,040.68",MDG
Madagascar,Africa,1997,54.978,"14,165,114",$986.30,MDG
Madagascar,Africa,2002,,"16,473,477",not available,MDG
Madagascar,Africa,2007,59.44300000000001,"19,167,654","$1,044.77",MDG
Malawi,Africa,1992,49.42,"10,014,249",$563.20,MWI
Malawi,Africa,1997,47.495,"10,419,991",$692.28,MWI
Malawi,Africa,2002,45.00899999999999,"11,824,495",$665.42,MWI
Malawi,Africa,2007,48.303,"13,327,079",$759.35,MWI
Malaysia,Asia,1992,70.693,"18,319,502","$7,277.91",MYS
Malaysia,Asia,1997,71.938,"20,476,091","$10,132.91",MYS
Malaysia,Asia,2002,73.044,"22,662,365","$10,206.98",MYS
Malaysia,Asia,2007,74.241,"24,821,286","$12,451.66",MYS
Mali,Africa,1992,48.38800000000001,"8,416,215",$739.01,MLI
Mali,Africa,1997,49.903,"9,384,984",$790.26,MLI
 Mali,Africa,2002,51.81800000000001,"10,580,176",$951.41,MLI
Mali,Africa,2007,54.467,"12,031,795","$1,042.58",MLI
Mauritania,Africa,1992,58.333,"2,119,465","$1,361.37",MRT
Mauritania,Africa,1997,60.43,"2,444,741","$1,483.14",MRT
Mauritania,Africa,2002,62.247,"2,828,858","$1,579.02",MRT
Mauritania,Africa,2007,64.164,"3,270,065","$1,803.15",MRT
Mauritius,Africa,1992,69.745,"1,096,202","$6,058.25",MUS
Mauritius,Africa,1997,70.736,"1,149,818","$7,425.71",MUS
Mauritius,Africa,2002,71.954,"1,200,206","$9,021.82",MUS
Mauritius,Africa,2007,72.801,"1,250,882","$10,956.99",MUS
Mexico,americas,1992,71.455,"88,111,030","$9,472.38",MEX
MEXICO,Americas,1997,73.67,"95,895,146","$9,767.30",MEX
Mexico,Americas,2002,74.902,"102,479,927","$10,742.44",MEX
Mexico,Americas,2007,76.195,"108,700,891","$11,977.57",MEX
Mongolia,Asia,1992,61.271,"2,312,802","$1,785.40",MNG
Mongolia,Asia,1997,63.625,"2,494,803","$1,902.25",MNG
Mongolia,Asia,2002,65.033,"2,674,234","$2,140.74",MNG
Mongolia,Asia,2007,66.803,"2,874,127","$3,095.77",MNG
Montenegro,Europe,1992,75.435,"621,621","$7,003.34",MNE
Montenegro,Europe,1997,75.445,"692,651","$6,465.61",MNE
Montenegro,Europe,2002,,"720,230","$6,557.19",MNE
Montenegro,Europe,2007,74.543,"684,736","$9,253.90",MNE
Morocco,Africa,1992,65.393,"25,798,239",not available,MAR
Morocco,Africa,1997,67.66,"28,529,501","$2,982.10",MAR
Morocco,Africa,2002,69.615,"31,167,783","$3,258.50",MAR
Morocco,Africa,2007,71.164,"33,757,175","$3,820.18",MAR
Mozambique,Africa ,1992,44.284,"13,160,731",$410.90,MOZ
Mozambique,Africa,1997,46.344,"16,603,334",$472.35,MOZ
Mozambique,Africa,2002,44.026,"18,473,780",$633.62,MOZ
Mozambique,Africa,2007,42.082,"19,951,656",$823.69,MOZ
Myanmar,Asia,1992,59.32,"40,546,538",$347.00,MMR
Myanmar,Asia,1997,60.328,"43,247,867",$415.00,MMR
Myanmar,Asia,2002,59.908,"45,598,081",$611.00,MMR
Myanmar,Asia,2007,62.069,"47,761,980",$944.00,MMR
Namibia,Africa,1992,61.999,"1,554,253","$3,804.54",NAM
Namibia,Africa,1997,58.909,"1,774,766","$3,899.52",NAM
Namibia ,Africa,2002,,"1,972,153","$4,072.32",NAM
Namibia,Africa,2007,52.90600000000001,"2,055,080","$4,811.06",NAM
Nepal,Asia,1992,55.727,"20,326,209",$897.74,NPL
Nepal,Asia,1997,59.426,"23,001,113","$1,010.89",NPL
Nepal,Asia,2002,61.34,"25,873,917","$1,057.21",NPL
Nepal,Asia,2007,63.785,"28,901,790","$1,091.36",NPL
Netherlands,Europe,1992,77.42,unknown,"$26,790.95",NLD
Netherlands,Europe,1997,78.03,"15,604,464","$30,246.13",NLD
Netherlands,Europe,2002,78.53,"16,122,830","$33,724.76",NLD
Netherlands,Europe,2007,79.762,"16,570,613","$36,797.93",NLD
New Zealand,Oceania,1992,76.33,"3,437,674","$18,363.32",NZL
New Zealand,Oceania,1997,77.55,"3,676,187","$21,050.41",NZL
New Zealand,Oceania,2002,79.11,"3,908,037","$23,189.80",NZL
New Zealand,Oceania,2007,80.204,"4,115,771","$25,185.01",NZL
Nicaragua,Americas,1992,65.843,"4,017,939","$2,170.15",NIC
Nicaragua,americas,1997,68.426,"4,609,572","$2,253.02",NIC
Nicaragua,Americas,2002,70.836,"5,146,848","$2,474.55",NIC
 Nicaragua,Americas,2007,72.899,"5,675,356","$2,749.32",NIC
Niger,Africa,1992,47.39100000000001,"8,392,818",$581.18,NER
Niger,Africa,1997,51.313,"9,666,252",$580.31,NER
Niger,Africa,2002,54.496,"11,140,655",$601.07,NER
Niger,Africa,2007,56.867,"12,894,865",$619.68,NER
NIGERIA,Africa,1992,47.472,"93,364,244","$1,619.85",NGA
Nigeria,Africa,1997,47.464,"106,207,839","$1,624.94",NGA
Nigeria,Africa,2002,46.608,"119,901,274","$1,615.29",NGA
Nigeria,Africa,2007,46.859,"135,031,164","$2,013.98",NGA
Norway,Europe,1992,77.32,"4,286,357","$33,965.66",NOR
Norway,Europe,1997,78.32,"4,405,672","$41,283.16",NOR
Norway,Europe,2002,79.05,"4,535,591","$44,683.98",NOR
Norway,Europe,2007,80.196,"4,627,926","$49,357.19",NOR
Oman,Asia,1992,71.197,"1,915,208","$18,616.71",OMN
Oman,Asia,1997,72.499,"2,283,635","$19,702.06",OMN
Oman,Asia,2002,74.193,"2,713,462","$19,774.84",OMN
Oman,Asia ,2007,75.64,"3,204,897","$22,316.19",OMN
Pakistan,Asia,1992,60.838,"120,065,004","$1,971.83",PAK
Pakistan,Asia,1997,61.81800000000001,"135,564,834","$2,049.35",PAK
Pakistan,Asia,2002,63.61,"153,403,524","$2,092.71",PAK
Pakistan,Asia,2007,65.483,"169,270,617","$2,605.95",PAK
Panama,Americas,1992,72.462,"2,484,997","$6,618.74",PAN
Panama,Americas,1997,73.738,"2,734,531","$7,113.69",PAN
Panama,Americas,2002,74.712,"2,990,875","$7,356.03",PAN
Panama,Americas,2007,75.53699999999998,"3,242,173","$9,809.19",PAN
Paraguay,Americas,1992,68.225,"4,483,945","$4,196.41",PRY
Paraguay,Americas,1997,69.4,"5,154,123","$4,247.40",PRY
Paraguay,Americas,2002,70.755,"5,884,491","$3,783.67",PRY
Paraguay,Americas,2007,71.752,"6,667,147","$4,172.84",PRY
Peru,Americas,1992,66.458,"22,430,449","$4,446.38",PER
Peru,Americas,1997,68.38600000000001,"24,748,122","$5,838.35",PER
